Image,True,Pred,Condition
dataset_variants/jigsaw_level_1/test\siamese_cat\000026.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_5/test\persian_cat\000015.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_3/test\siamese_cat\000034.jpg,1,1,Jigsaw_L3
dataset/test\persian_cat\000049.jpg,0,0,Original
dataset_variants/jigsaw_level_3/test\siamese_cat\000023.jpg,1,1,Jigsaw_L3
dataset_variants/eidolon_level_4/test\persian_cat\000020.jpg,0,0,Eidolon_L4
dataset_variants/eidolon_level_5/test\siamese_cat\000022.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_3/test\siamese_cat\000011.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_4/test\siamese_cat\000011.jpg,1,0,Jigsaw_L4
dataset_variants/eidolon_level_1/test\persian_cat\000024.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_4/test\siamese_cat\000029.jpg,1,0,Eidolon_L4
dataset_variants/eidolon_level_3/test\persian_cat\000020.jpg,0,0,Eidolon_L3
dataset_variants/eidolon_level_5/test\persian_cat\000045.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_4/test\siamese_cat\000017.jpg,1,0,Eidolon_L4
dataset_variants/jigsaw_level_3/test\persian_cat\000055.jpg,0,0,Jigsaw_L3
dataset_variants/jigsaw_level_3/test\siamese_cat\000006.jpg,1,1,Jigsaw_L3
dataset_variants/jigsaw_level_1/test\persian_cat\000012.jpg,0,0,Jigsaw_L1
dataset_variants/jigsaw_level_3/test\persian_cat\000047.jpg,0,0,Jigsaw_L3
dataset/test\siamese_cat\000020.jpg,1,1,Original
dataset_variants/jigsaw_level_2/test\persian_cat\000033.jpg,0,0,Jigsaw_L2
dataset_variants/eidolon_level_3/test\persian_cat\000004.jpg,0,0,Eidolon_L3
dataset_variants/eidolon_level_2/test\persian_cat\000009.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_5/test\siamese_cat\000010.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_5/test\persian_cat\000025.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_2/test\siamese_cat\000001.jpg,1,1,Eidolon_L2
dataset_variants/jigsaw_level_1/test\siamese_cat\000038.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_5/test\siamese_cat\000019.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_3/test\persian_cat\000032.jpg,0,0,Eidolon_L3
dataset_variants/jigsaw_level_1/test\siamese_cat\000010.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_2/test\persian_cat\000005.jpg,0,0,Eidolon_L2
dataset_variants/jigsaw_level_1/test\persian_cat\000013.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_1/test\persian_cat\000009.jpg,0,0,Eidolon_L1
dataset_variants/jigsaw_level_1/test\siamese_cat\000027.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_2/test\siamese_cat\000024.jpg,1,1,Eidolon_L2
dataset_variants/eidolon_level_5/test\persian_cat\000023.jpg,0,0,Eidolon_L5
dataset/test\persian_cat\000011.jpg,0,0,Original
dataset_variants/jigsaw_level_3/test\persian_cat\000034.jpg,0,0,Jigsaw_L3
dataset_variants/eidolon_level_5/test\persian_cat\000041.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_5/test\siamese_cat\000001.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_1/test\siamese_cat\000026.jpg,1,1,Eidolon_L1
dataset_variants/jigsaw_level_1/test\persian_cat\000033.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_2/test\persian_cat\000012.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_1/test\persian_cat\000045.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_2/test\siamese_cat\000013.jpg,1,1,Eidolon_L2
dataset_variants/eidolon_level_1/test\siamese_cat\000005.jpg,1,1,Eidolon_L1
dataset_variants/eidolon_level_5/test\persian_cat\000043.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_2/test\persian_cat\000035.jpg,0,1,Jigsaw_L2
dataset_variants/eidolon_level_1/test\persian_cat\000040.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_3/test\siamese_cat\000021.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_2/test\persian_cat\000024.jpg,0,0,Jigsaw_L2
dataset_variants/eidolon_level_3/test\persian_cat\000011.jpg,0,0,Eidolon_L3
dataset_variants/eidolon_level_3/test\siamese_cat\000020.jpg,1,1,Eidolon_L3
dataset_variants/eidolon_level_1/test\persian_cat\000005.jpg,0,0,Eidolon_L1
dataset_variants/jigsaw_level_1/test\persian_cat\000011.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_1/test\siamese_cat\000033.jpg,1,1,Eidolon_L1
dataset_variants/jigsaw_level_4/test\persian_cat\000019.jpg,0,0,Jigsaw_L4
dataset_variants/eidolon_level_4/test\siamese_cat\000036.jpg,1,0,Eidolon_L4
dataset_variants/eidolon_level_5/test\siamese_cat\000029.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_4/test\siamese_cat\000008.jpg,1,0,Eidolon_L4
dataset_variants/eidolon_level_2/test\persian_cat\000011.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_3/test\siamese_cat\000027.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_1/test\persian_cat\000021.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_3/test\persian_cat\000055.jpg,0,0,Eidolon_L3
dataset_variants/jigsaw_level_1/test\persian_cat\000024.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_3/test\persian_cat\000017.jpg,0,0,Eidolon_L3
dataset_variants/jigsaw_level_4/test\persian_cat\000052.jpg,0,0,Jigsaw_L4
dataset/test\siamese_cat\000012.jpg,1,1,Original
dataset_variants/jigsaw_level_1/test\persian_cat\000002.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_3/test\persian_cat\000041.jpg,0,0,Eidolon_L3
dataset_variants/jigsaw_level_2/test\persian_cat\000021.jpg,0,0,Jigsaw_L2
dataset_variants/jigsaw_level_3/test\persian_cat\000048.jpg,0,0,Jigsaw_L3
dataset_variants/eidolon_level_3/test\persian_cat\000031.jpg,0,0,Eidolon_L3
dataset_variants/eidolon_level_3/test\persian_cat\000018.jpg,0,0,Eidolon_L3
dataset_variants/jigsaw_level_3/test\persian_cat\000022.jpg,0,0,Jigsaw_L3
dataset_variants/jigsaw_level_2/test\persian_cat\000032.jpg,0,0,Jigsaw_L2
dataset/test\persian_cat\000052.jpg,0,0,Original
dataset_variants/jigsaw_level_1/test\persian_cat\000050.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_2/test\persian_cat\000016.jpeg,0,0,Eidolon_L2
dataset_variants/jigsaw_level_4/test\persian_cat\000013.jpg,0,1,Jigsaw_L4
dataset_variants/eidolon_level_3/test\persian_cat\000039.jpg,0,0,Eidolon_L3
dataset_variants/eidolon_level_5/test\persian_cat\000008.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_4/test\persian_cat\000010.jpg,0,0,Jigsaw_L4
dataset_variants/eidolon_level_5/test\siamese_cat\000008.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_1/test\siamese_cat\000037.jpg,1,1,Eidolon_L1
dataset_variants/jigsaw_level_3/test\persian_cat\000009.jpg,0,0,Jigsaw_L3
dataset/test\persian_cat\000029.jpg,0,0,Original
dataset_variants/jigsaw_level_1/test\persian_cat\000018.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_4/test\persian_cat\000044.jpg,0,0,Eidolon_L4
dataset_variants/jigsaw_level_1/test\persian_cat\000030.jpg,0,1,Jigsaw_L1
dataset_variants/jigsaw_level_4/test\siamese_cat\000009.jpg,1,1,Jigsaw_L4
dataset_variants/eidolon_level_1/test\persian_cat\000051.jpg,0,0,Eidolon_L1
dataset_variants/jigsaw_level_3/test\siamese_cat\000017.jpg,1,1,Jigsaw_L3
dataset_variants/eidolon_level_5/test\persian_cat\000006.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_4/test\persian_cat\000023.jpg,0,0,Eidolon_L4
dataset_variants/eidolon_level_5/test\siamese_cat\000004.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_5/test\persian_cat\000049.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_1/test\siamese_cat\000021.jpg,1,1,Eidolon_L1
dataset_variants/eidolon_level_1/test\persian_cat\000046.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_1/test\persian_cat\000014.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_2/test\persian_cat\000025.jpg,0,1,Eidolon_L2
dataset_variants/eidolon_level_5/test\siamese_cat\000034.jpg,1,0,Eidolon_L5
dataset_variants/jigsaw_level_4/test\persian_cat\000055.jpg,0,0,Jigsaw_L4
dataset_variants/jigsaw_level_2/test\siamese_cat\000038.jpg,1,1,Jigsaw_L2
dataset_variants/jigsaw_level_4/test\persian_cat\000025.jpg,0,0,Jigsaw_L4
dataset_variants/eidolon_level_3/test\siamese_cat\000002.jpg,1,1,Eidolon_L3
dataset/test\persian_cat\000019.jpg,0,0,Original
dataset_variants/eidolon_level_4/test\persian_cat\000016.jpeg,0,0,Eidolon_L4
dataset_variants/eidolon_level_2/test\persian_cat\000053.jpg,0,0,Eidolon_L2
dataset_variants/jigsaw_level_1/test\persian_cat\000010.jpg,0,0,Jigsaw_L1
dataset/test\persian_cat\000040.jpg,0,0,Original
dataset_variants/jigsaw_level_2/test\persian_cat\000016.jpeg,0,0,Jigsaw_L2
dataset_variants/eidolon_level_4/test\persian_cat\000031.jpg,0,0,Eidolon_L4
dataset_variants/eidolon_level_1/test\siamese_cat\000008.jpg,1,1,Eidolon_L1
dataset_variants/eidolon_level_1/test\siamese_cat\000004.jpg,1,1,Eidolon_L1
dataset_variants/eidolon_level_2/test\siamese_cat\000002.jpg,1,1,Eidolon_L2
dataset_variants/eidolon_level_5/test\persian_cat\000019.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_3/test\siamese_cat\000004.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_4/test\siamese_cat\000034.jpg,1,1,Jigsaw_L4
dataset_variants/eidolon_level_4/test\siamese_cat\000033.jpg,1,1,Eidolon_L4
dataset_variants/jigsaw_level_3/test\persian_cat\000010.jpg,0,0,Jigsaw_L3
dataset_variants/jigsaw_level_1/test\persian_cat\000005.jpg,0,0,Jigsaw_L1
dataset_variants/jigsaw_level_3/test\siamese_cat\000007.jpg,1,1,Jigsaw_L3
dataset_variants/jigsaw_level_1/test\siamese_cat\000013.jpg,1,1,Jigsaw_L1
dataset_variants/jigsaw_level_2/test\siamese_cat\000027.jpg,1,1,Jigsaw_L2
dataset_variants/jigsaw_level_2/test\persian_cat\000030.jpg,0,0,Jigsaw_L2
dataset_variants/eidolon_level_4/test\persian_cat\000019.jpg,0,0,Eidolon_L4
dataset_variants/eidolon_level_3/test\siamese_cat\000019.jpg,1,1,Eidolon_L3
dataset_variants/eidolon_level_3/test\siamese_cat\000026.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_2/test\siamese_cat\000030.jpg,1,1,Jigsaw_L2
dataset_variants/eidolon_level_5/test\persian_cat\000040.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_1/test\persian_cat\000042.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_3/test\persian_cat\000044.jpg,0,0,Eidolon_L3
dataset_variants/eidolon_level_4/test\siamese_cat\000032.jpg,1,1,Eidolon_L4
dataset_variants/eidolon_level_2/test\persian_cat\000050.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_4/test\siamese_cat\000018.jpg,1,0,Eidolon_L4
dataset_variants/eidolon_level_5/test\siamese_cat\000025.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_2/test\siamese_cat\000022.jpg,1,1,Eidolon_L2
dataset_variants/eidolon_level_2/test\persian_cat\000010.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_3/test\siamese_cat\000031.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_3/test\persian_cat\000011.jpg,0,0,Jigsaw_L3
dataset_variants/eidolon_level_5/test\persian_cat\000028.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_1/test\siamese_cat\000019.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_5/test\persian_cat\000007.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_3/test\siamese_cat\000037.jpg,1,1,Jigsaw_L3
dataset_variants/jigsaw_level_1/test\persian_cat\000048.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_5/test\siamese_cat\000027.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_5/test\persian_cat\000048.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_1/test\persian_cat\000014.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_4/test\siamese_cat\000037.jpg,1,0,Eidolon_L4
dataset_variants/jigsaw_level_1/test\persian_cat\000052.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_4/test\persian_cat\000040.jpg,0,0,Eidolon_L4
dataset_variants/eidolon_level_5/test\persian_cat\000055.jpg,0,0,Eidolon_L5
dataset/test\persian_cat\000002.jpg,0,0,Original
dataset_variants/jigsaw_level_4/test\siamese_cat\000008.jpg,1,1,Jigsaw_L4
dataset_variants/eidolon_level_3/test\siamese_cat\000018.jpg,1,1,Eidolon_L3
dataset_variants/eidolon_level_2/test\persian_cat\000034.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_3/test\siamese_cat\000007.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_4/test\persian_cat\000006.jpg,0,0,Jigsaw_L4
dataset_variants/jigsaw_level_1/test\persian_cat\000019.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_3/test\siamese_cat\000030.jpg,1,1,Eidolon_L3
dataset_variants/eidolon_level_4/test\siamese_cat\000021.jpg,1,1,Eidolon_L4
dataset/test\siamese_cat\000032.jpg,1,1,Original
dataset_variants/eidolon_level_2/test\persian_cat\000020.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_2/test\persian_cat\000054.jpg,0,0,Eidolon_L2
dataset_variants/jigsaw_level_1/test\persian_cat\000049.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_2/test\siamese_cat\000032.jpg,1,1,Eidolon_L2
dataset_variants/eidolon_level_5/test\persian_cat\000027.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_5/test\siamese_cat\000015.jpg,1,0,Eidolon_L5
dataset/test\siamese_cat\000006.jpg,1,1,Original
dataset_variants/jigsaw_level_3/test\persian_cat\000039.jpg,0,0,Jigsaw_L3
dataset_variants/eidolon_level_5/test\persian_cat\000032.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_4/test\siamese_cat\000007.jpg,1,0,Eidolon_L4
dataset_variants/jigsaw_level_2/test\persian_cat\000004.jpg,0,0,Jigsaw_L2
dataset_variants/jigsaw_level_3/test\persian_cat\000049.jpg,0,0,Jigsaw_L3
dataset_variants/jigsaw_level_2/test\persian_cat\000034.jpg,0,0,Jigsaw_L2
dataset_variants/jigsaw_level_4/test\persian_cat\000033.jpg,0,0,Jigsaw_L4
dataset_variants/eidolon_level_1/test\persian_cat\000001.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_2/test\siamese_cat\000014.jpg,1,0,Eidolon_L2
dataset/test\persian_cat\000055.jpg,0,0,Original
dataset_variants/eidolon_level_4/test\siamese_cat\000034.jpg,1,1,Eidolon_L4
dataset_variants/eidolon_level_5/test\persian_cat\000037.jpg,0,0,Eidolon_L5
dataset_variants/eidolon_level_3/test\siamese_cat\000016.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_4/test\persian_cat\000035.jpg,0,1,Jigsaw_L4
dataset_variants/eidolon_level_4/test\siamese_cat\000025.jpg,1,0,Eidolon_L4
dataset_variants/eidolon_level_3/test\siamese_cat\000010.jpg,1,1,Eidolon_L3
dataset_variants/jigsaw_level_1/test\siamese_cat\000029.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_2/test\persian_cat\000008.jpg,0,0,Eidolon_L2
dataset_variants/jigsaw_level_4/test\persian_cat\000024.jpg,0,0,Jigsaw_L4
dataset_variants/eidolon_level_2/test\persian_cat\000002.jpg,0,0,Eidolon_L2
dataset_variants/jigsaw_level_1/test\persian_cat\000044.jpg,0,0,Jigsaw_L1
dataset_variants/eidolon_level_3/test\persian_cat\000042.jpg,0,0,Eidolon_L3
dataset_variants/jigsaw_level_4/test\persian_cat\000004.jpg,0,0,Jigsaw_L4
dataset_variants/eidolon_level_1/test\persian_cat\000022.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_5/test\persian_cat\000022.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_3/test\persian_cat\000004.jpg,0,0,Jigsaw_L3
dataset_variants/jigsaw_level_3/test\persian_cat\000050.jpg,0,0,Jigsaw_L3
dataset_variants/eidolon_level_4/test\siamese_cat\000009.jpg,1,1,Eidolon_L4
dataset_variants/jigsaw_level_2/test\siamese_cat\000002.jpg,1,1,Jigsaw_L2
dataset_variants/jigsaw_level_3/test\persian_cat\000046.jpg,0,0,Jigsaw_L3
dataset_variants/eidolon_level_3/test\persian_cat\000050.jpg,0,0,Eidolon_L3
dataset_variants/jigsaw_level_3/test\siamese_cat\000025.jpg,1,1,Jigsaw_L3
dataset_variants/eidolon_level_1/test\siamese_cat\000016.jpg,1,1,Eidolon_L1
dataset_variants/eidolon_level_2/test\siamese_cat\000026.jpg,1,1,Eidolon_L2
dataset_variants/jigsaw_level_1/test\persian_cat\000003.jpg,0,0,Jigsaw_L1
dataset/test\persian_cat\000031.jpg,0,0,Original
dataset_variants/eidolon_level_4/test\siamese_cat\000019.jpg,1,0,Eidolon_L4
dataset_variants/jigsaw_level_1/test\persian_cat\000026.jpg,0,0,Jigsaw_L1
dataset_variants/jigsaw_level_2/test\persian_cat\000026.jpg,0,0,Jigsaw_L2
dataset_variants/eidolon_level_2/test\persian_cat\000032.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_1/test\siamese_cat\000013.jpg,1,1,Eidolon_L1
dataset_variants/jigsaw_level_4/test\persian_cat\000028.jpg,0,0,Jigsaw_L4
dataset_variants/jigsaw_level_1/test\siamese_cat\000032.jpg,1,1,Jigsaw_L1
dataset_variants/jigsaw_level_2/test\siamese_cat\000008.jpg,1,1,Jigsaw_L2
dataset_variants/eidolon_level_5/test\siamese_cat\000011.jpg,1,0,Eidolon_L5
dataset_variants/jigsaw_level_3/test\siamese_cat\000020.jpg,1,1,Jigsaw_L3
dataset_variants/jigsaw_level_2/test\persian_cat\000046.jpg,0,0,Jigsaw_L2
dataset_variants/eidolon_level_2/test\persian_cat\000007.jpg,0,0,Eidolon_L2
dataset_variants/eidolon_level_1/test\siamese_cat\000019.jpg,1,1,Eidolon_L1
dataset_variants/jigsaw_level_3/test\persian_cat\000031.jpg,0,0,Jigsaw_L3
dataset_variants/jigsaw_level_1/test\siamese_cat\000031.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_1/test\persian_cat\000002.jpg,0,0,Eidolon_L1
dataset_variants/eidolon_level_5/test\siamese_cat\000036.jpg,1,0,Eidolon_L5
dataset_variants/eidolon_level_5/test\persian_cat\000014.jpg,0,0,Eidolon_L5
dataset_variants/jigsaw_level_2/test\siamese_cat\000019.jpg,1,1,Jigsaw_L2
dataset_variants/jigsaw_level_2/test\persian_cat\000044.jpg,0,0,Jigsaw_L2
dataset_variants/jigsaw_level_4/test\persian_cat\000034.jpg,0,0,Jigsaw_L4
dataset_variants/eidolon_level_2/test\persian_cat\000027.jpg,0,0,Eidolon_L2
dataset_variants/jigsaw_level_1/test\siamese_cat\000036.jpg,1,1,Jigsaw_L1
dataset_variants/eidolon_level_1/test\persian_cat\000019.jpg,0,0,Eidolon_L1
